instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,dy,pred
12000,2,1,5,4,0,0,0,1,0.52,0.5,0.68,0.0896,20,172.1364806636543
12001,2,1,5,5,0,0,0,1,0.5,0.4848,0.72,0.1045,20,168.05548741354377
12002,2,1,5,6,0,0,0,1,0.5,0.4848,0.63,0.1343,20,188.64523909104042
12003,2,1,5,7,0,0,0,1,0.52,0.5,0.68,0.194,20,193.80236956854117
12004,2,1,5,8,0,0,0,1,0.56,0.5303,0.56,0.1642,20,227.47089134214022
12005,2,1,5,9,0,0,0,1,0.62,0.6212,0.32,0.2537,20,298.03645389924156
12006,2,1,5,10,0,0,0,1,0.66,0.6212,0.34,0.2985,20,304.5240027614244
12007,2,1,5,11,0,0,0,1,0.66,0.6212,0.36,0.3284,20,308.6532717785692
12008,2,1,5,12,0,0,0,1,0.68,0.6364,0.36,0.3284,20,320.0809694294429
12009,2,1,5,13,0,0,0,1,0.7,0.6364,0.37,0.2836,20,325.2176601910886
12010,2,1,5,14,0,0,0,1,0.72,0.6515,0.39,0.3881,20,335.7488132357656
12011,2,1,5,15,0,0,0,2,0.7,0.6364,0.39,0.4179,20,331.75248563818514
12012,2,1,5,16,0,0,0,1,0.72,0.6515,0.42,0.3582,20,343.68230694653334
12013,2,1,5,17,0,0,0,1,0.72,0.6515,0.45,0.3284,20,345.10259033510965
12014,2,1,5,18,0,0,0,1,0.7,0.6515,0.51,0.3284,20,341.6104340783446
12015,2,1,5,19,0,0,0,1,0.66,0.6212,0.61,0.4179,20,325.1779723311024
12016,2,1,5,20,0,0,0,1,0.66,0.6212,0.61,0.4179,20,331.69321346316815
12017,2,1,5,21,0,0,0,1,0.64,0.6061,0.69,0.3881,20,320.7436363220987
12018,2,1,5,22,0,0,0,1,0.62,0.5909,0.73,0.3284,20,315.14765890581714
12019,2,1,5,23,0,0,0,3,0.6,0.5758,0.78,0.3582,20,297.4385204291483
12020,2,1,5,0,0,1,1,3,0.58,0.5455,0.88,0.2985,21,123.67187202793468
12021,2,1,5,1,0,1,1,3,0.58,0.5455,0.88,0.3582,21,131.39950665491202
12022,2,1,5,2,0,1,1,3,0.56,0.5303,0.94,0.2537,21,121.90054214766437
12023,2,1,5,3,0,1,1,2,0.56,0.5303,0.88,0.2985,21,144.5349891161276
12024,2,1,5,4,0,1,1,3,0.56,0.5303,0.88,0.2985,21,144.82038003738958
12025,2,1,5,5,0,1,1,3,0.56,0.5303,0.88,0.2985,21,151.33562116945527
12026,2,1,5,6,0,1,1,3,0.56,0.5303,0.88,0.2985,21,157.850862301521
12027,2,1,5,7,0,1,1,3,0.56,0.5303,0.88,0.2985,21,164.3661034335867
12028,2,1,5,8,0,1,1,3,0.56,0.5303,0.88,0.2537,21,169.97154174200014
12029,2,1,5,9,0,1,1,3,0.56,0.5303,0.88,0.2239,21,175.8816015315471
12030,2,1,5,10,0,1,1,3,0.58,0.5455,0.88,0.2836,21,188.52169267733245
12031,2,1,5,11,0,1,1,2,0.6,0.5606,0.83,0.1642,21,211.2118575600243
12032,2,1,5,12,0,1,1,2,0.6,0.5606,0.83,0.2537,21,219.5446735295204
12033,2,1,5,13,0,1,1,3,0.6,0.5606,0.83,0.2537,21,219.83006445078232
12034,2,1,5,14,0,1,1,3,0.6,0.5606,0.83,0.194,21,225.1329120879364
12035,2,1,5,15,0,1,1,2,0.64,0.6061,0.73,0.194,21,266.52789307946273
12036,2,1,5,16,0,1,1,2,0.64,0.6061,0.73,0.2537,21,274.25552770644015
12037,2,1,5,17,0,1,1,2,0.66,0.6212,0.69,0.2537,21,291.6440372344946
12038,2,1,5,18,0,1,1,1,0.64,0.6061,0.73,0.1045,21,290.48589184903335
12039,2,1,5,19,0,1,1,1,0.66,0.6212,0.69,0.0896,21,307.5718107058285
12040,2,1,5,20,0,1,1,1,0.64,0.6061,0.69,0.1343,21,310.10792399031106
12041,2,1,5,21,0,1,1,1,0.62,0.6061,0.69,0.0896,21,314.68754852170946
12042,2,1,5,22,0,1,1,2,0.62,0.5909,0.73,0.1642,21,306.61694314259614
12043,2,1,5,23,0,1,1,1,0.62,0.5909,0.73,0.2836,21,321.7868214752889
12044,2,1,5,0,0,2,1,1,0.58,0.5455,0.83,0.2537,22,144.2023296897635
12045,2,1,5,1,0,2,1,2,0.58,0.5455,0.83,0.1343,22,142.06293362120215
12046,2,1,5,2,0,2,1,2,0.58,0.5455,0.83,0.1045,22,147.97299341074915
12047,2,1,5,3,0,2,1,2,0.58,0.5455,0.83,0.1045,22,154.48823454281487
12048,2,1,5,4,0,2,1,2,0.56,0.5303,0.88,0.1642,22,149.82045198269972
12049,2,1,5,5,0,2,1,3,0.56,0.5303,0.88,0.194,22,150.71102424648038
12050,2,1,5,6,0,2,1,3,0.56,0.5303,0.88,0.1045,22,155.4086905411157
12051,2,1,5,7,0,2,1,3,0.56,0.5303,0.88,0.1045,22,161.92393167318144
12052,2,1,5,8,0,2,1,2,0.56,0.5303,0.88,0.1343,22,175.27420435856962
12053,2,1,5,9,0,2,1,2,0.6,0.5606,0.83,0.1045,22,198.46658119657027
12054,2,1,5,10,0,2,1,2,0.6,0.5758,0.78,0.0896,22,216.0468042575799
12055,2,1,5,11,0,2,1,2,0.6,0.5758,0.78,0.0,22,220.74243974234096
12056,2,1,5,12,0,2,1,2,0.62,0.5909,0.78,0.1045,22,234.2667770543318
12057,2,1,5,13,0,2,1,2,0.64,0.6061,0.73,0.0,22,251.0552390549261
12058,2,1,5,14,0,2,1,2,0.64,0.6061,0.73,0.1045,22,259.6926765055558
12059,2,1,5,15,0,2,1,1,0.7,0.6515,0.61,0.0896,22,304.7805390225791
12060,2,1,5,16,0,2,1,1,0.68,0.6364,0.61,0.1045,22,306.71147096454297
12061,2,1,5,17,0,2,1,1,0.72,0.6667,0.54,0.0,22,331.38001709381217
12062,2,1,5,18,0,2,1,1,0.68,0.6364,0.61,0.1343,22,320.3471345711931
12063,2,1,5,19,0,2,1,1,0.66,0.6212,0.69,0.2239,22,311.7967877625001
12064,2,1,5,20,0,2,1,1,0.64,0.6061,0.73,0.2537,22,308.04394184109583
12065,2,1,5,21,0,2,1,1,0.62,0.5909,0.78,0.1343,22,299.73897879624565
12066,2,1,5,22,0,2,1,1,0.62,0.5909,0.73,0.0896,22,312.8294085828179
12067,2,1,5,23,0,2,1,1,0.62,0.5909,0.73,0.1045,22,319.6472403861429
12068,2,1,5,0,0,3,1,1,0.62,0.5909,0.78,0.1343,23,164.41651441845474
12069,2,1,5,1,0,3,1,1,0.6,0.5606,0.83,0.1642,23,155.28449524134902
12070,2,1,5,2,0,3,1,2,0.6,0.5606,0.83,0.1642,23,155.56988616261097
12071,2,1,5,3,0,3,1,1,0.6,0.5758,0.78,0.1045,23,178.470156610772
12072,2,1,5,4,0,3,1,3,0.58,0.5455,0.83,0.194,23,158.0887996970962
12073,2,1,5,5,0,3,1,3,0.56,0.5303,0.88,0.2537,23,153.42101713698105
12074,2,1,5,6,0,3,1,1,0.56,0.5303,0.88,0.1045,23,169.36599035831227
12075,2,1,5,7,0,3,1,1,0.58,0.5455,0.83,0.0,23,186.15445235890655
12076,2,1,5,8,0,3,1,1,0.58,0.5455,0.83,0.0,23,192.6696934909723
12077,2,1,5,9,0,3,1,2,0.62,0.5909,0.78,0.0,23,214.09645673515973
12078,2,1,5,10,0,3,1,1,0.62,0.5909,0.78,0.0896,23,228.66115372533383
12079,2,1,5,11,0,3,1,1,0.64,0.6061,0.73,0.0,23,245.7522063971875
12080,2,1,5,12,0,3,1,2,0.66,0.6212,0.69,0.0896,23,258.73047136174284
