instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,dy,pred
12000,2,1,5,4,0,0,0,1,0.52,0.5,0.68,0.0896,20,6
12001,2,1,5,5,0,0,0,1,0.5,0.4848,0.72,0.1045,20,6
12002,2,1,5,6,0,0,0,1,0.5,0.4848,0.63,0.1343,20,6
12003,2,1,5,7,0,0,0,1,0.52,0.5,0.68,0.194,20,6
12004,2,1,5,8,0,0,0,1,0.56,0.5303,0.56,0.1642,20,6
12005,2,1,5,9,0,0,0,1,0.62,0.6212,0.32,0.2537,20,6
12006,2,1,5,10,0,0,0,1,0.66,0.6212,0.34,0.2985,20,90
12007,2,1,5,11,0,0,0,1,0.66,0.6212,0.36,0.3284,20,90
12008,2,1,5,12,0,0,0,1,0.68,0.6364,0.36,0.3284,20,90
12009,2,1,5,13,0,0,0,1,0.7,0.6364,0.37,0.2836,20,134
12010,2,1,5,14,0,0,0,1,0.72,0.6515,0.39,0.3881,20,134
12011,2,1,5,15,0,0,0,2,0.7,0.6364,0.39,0.4179,20,79
12012,2,1,5,16,0,0,0,1,0.72,0.6515,0.42,0.3582,20,134
12013,2,1,5,17,0,0,0,1,0.72,0.6515,0.45,0.3284,20,134
12014,2,1,5,18,0,0,0,1,0.7,0.6515,0.51,0.3284,20,181
12015,2,1,5,19,0,0,0,1,0.66,0.6212,0.61,0.4179,20,181
12016,2,1,5,20,0,0,0,1,0.66,0.6212,0.61,0.4179,20,181
12017,2,1,5,21,0,0,0,1,0.64,0.6061,0.69,0.3881,20,181
12018,2,1,5,22,0,0,0,1,0.62,0.5909,0.73,0.3284,20,181
12019,2,1,5,23,0,0,0,3,0.6,0.5758,0.78,0.3582,20,62
12020,2,1,5,0,0,1,1,3,0.58,0.5455,0.88,0.2985,21,3
12021,2,1,5,1,0,1,1,3,0.58,0.5455,0.88,0.3582,21,3
12022,2,1,5,2,0,1,1,3,0.56,0.5303,0.94,0.2537,21,3
12023,2,1,5,3,0,1,1,2,0.56,0.5303,0.88,0.2985,21,6
12024,2,1,5,4,0,1,1,3,0.56,0.5303,0.88,0.2985,21,3
12025,2,1,5,5,0,1,1,3,0.56,0.5303,0.88,0.2985,21,3
12026,2,1,5,6,0,1,1,3,0.56,0.5303,0.88,0.2985,21,3
12027,2,1,5,7,0,1,1,3,0.56,0.5303,0.88,0.2985,21,3
12028,2,1,5,8,0,1,1,3,0.56,0.5303,0.88,0.2537,21,3
12029,2,1,5,9,0,1,1,3,0.56,0.5303,0.88,0.2239,21,21
12030,2,1,5,10,0,1,1,3,0.58,0.5455,0.88,0.2836,21,21
12031,2,1,5,11,0,1,1,2,0.6,0.5606,0.83,0.1642,21,6
12032,2,1,5,12,0,1,1,2,0.6,0.5606,0.83,0.2537,21,90
12033,2,1,5,13,0,1,1,3,0.6,0.5606,0.83,0.2537,21,21
12034,2,1,5,14,0,1,1,3,0.6,0.5606,0.83,0.194,21,90
12035,2,1,5,15,0,1,1,2,0.64,0.6061,0.73,0.194,21,90
12036,2,1,5,16,0,1,1,2,0.64,0.6061,0.73,0.2537,21,90
12037,2,1,5,17,0,1,1,2,0.66,0.6212,0.69,0.2537,21,90
12038,2,1,5,18,0,1,1,1,0.64,0.6061,0.73,0.1045,21,134
12039,2,1,5,19,0,1,1,1,0.66,0.6212,0.69,0.0896,21,134
12040,2,1,5,20,0,1,1,1,0.64,0.6061,0.69,0.1343,21,134
12041,2,1,5,21,0,1,1,1,0.62,0.6061,0.69,0.0896,21,134
12042,2,1,5,22,0,1,1,2,0.62,0.5909,0.73,0.1642,21,90
12043,2,1,5,23,0,1,1,1,0.62,0.5909,0.73,0.2836,21,134
12044,2,1,5,0,0,2,1,1,0.58,0.5455,0.83,0.2537,22,6
12045,2,1,5,1,0,2,1,2,0.58,0.5455,0.83,0.1343,22,6
12046,2,1,5,2,0,2,1,2,0.58,0.5455,0.83,0.1045,22,6
12047,2,1,5,3,0,2,1,2,0.58,0.5455,0.83,0.1045,22,6
12048,2,1,5,4,0,2,1,2,0.56,0.5303,0.88,0.1642,22,6
12049,2,1,5,5,0,2,1,3,0.56,0.5303,0.88,0.194,22,3
12050,2,1,5,6,0,2,1,3,0.56,0.5303,0.88,0.1045,22,3
12051,2,1,5,7,0,2,1,3,0.56,0.5303,0.88,0.1045,22,3
12052,2,1,5,8,0,2,1,2,0.56,0.5303,0.88,0.1343,22,6
12053,2,1,5,9,0,2,1,2,0.6,0.5606,0.83,0.1045,22,6
12054,2,1,5,10,0,2,1,2,0.6,0.5758,0.78,0.0896,22,6
12055,2,1,5,11,0,2,1,2,0.6,0.5758,0.78,0.0,22,26
12056,2,1,5,12,0,2,1,2,0.62,0.5909,0.78,0.1045,22,26
12057,2,1,5,13,0,2,1,2,0.64,0.6061,0.73,0.0,22,90
12058,2,1,5,14,0,2,1,2,0.64,0.6061,0.73,0.1045,22,90
12059,2,1,5,15,0,2,1,1,0.7,0.6515,0.61,0.0896,22,90
12060,2,1,5,16,0,2,1,1,0.68,0.6364,0.61,0.1045,22,138
12061,2,1,5,17,0,2,1,1,0.72,0.6667,0.54,0.0,22,138
12062,2,1,5,18,0,2,1,1,0.68,0.6364,0.61,0.1343,22,138
12063,2,1,5,19,0,2,1,1,0.66,0.6212,0.69,0.2239,22,138
12064,2,1,5,20,0,2,1,1,0.64,0.6061,0.73,0.2537,22,138
12065,2,1,5,21,0,2,1,1,0.62,0.5909,0.78,0.1343,22,138
12066,2,1,5,22,0,2,1,1,0.62,0.5909,0.73,0.0896,22,138
12067,2,1,5,23,0,2,1,1,0.62,0.5909,0.73,0.1045,22,138
12068,2,1,5,0,0,3,1,1,0.62,0.5909,0.78,0.1343,23,6
12069,2,1,5,1,0,3,1,1,0.6,0.5606,0.83,0.1642,23,6
12070,2,1,5,2,0,3,1,2,0.6,0.5606,0.83,0.1642,23,6
12071,2,1,5,3,0,3,1,1,0.6,0.5758,0.78,0.1045,23,6
12072,2,1,5,4,0,3,1,3,0.58,0.5455,0.83,0.194,23,3
12073,2,1,5,5,0,3,1,3,0.56,0.5303,0.88,0.2537,23,3
12074,2,1,5,6,0,3,1,1,0.56,0.5303,0.88,0.1045,23,6
12075,2,1,5,7,0,3,1,1,0.58,0.5455,0.83,0.0,23,6
12076,2,1,5,8,0,3,1,1,0.58,0.5455,0.83,0.0,23,6
12077,2,1,5,9,0,3,1,2,0.62,0.5909,0.78,0.0,23,6
12078,2,1,5,10,0,3,1,1,0.62,0.5909,0.78,0.0896,23,6
12079,2,1,5,11,0,3,1,1,0.64,0.6061,0.73,0.0,23,6
12080,2,1,5,12,0,3,1,2,0.66,0.6212,0.69,0.0896,23,26
12081,2,1,5,13,0,3,1,2,0.66,0.6212,0.74,0.1642,23,26
12082,2,1,5,14,0,3,1,1,0.68,0.6364,0.65,0.1343,23,138
12083,2,1,5,15,0,3,1,2,0.7,0.6515,0.61,0.0,23,90
12084,2,1,5,16,0,3,1,3,0.7,0.6515,0.61,0.0896,23,90
12085,2,1,5,17,0,3,1,3,0.64,0.6061,0.69,0.1045,23,90
12086,2,1,5,18,0,3,1,3,0.64,0.6061,0.69,0.1045,23,90
12087,2,1,5,19,0,3,1,2,0.62,0.5758,0.83,0.1642,23,90
12088,2,1,5,20,0,3,1,2,0.62,0.5758,0.83,0.0896,23,90
12089,2,1,5,21,0,3,1,2,0.62,0.5758,0.83,0.0,23,90
12090,2,1,5,22,0,3,1,2,0.62,0.5758,0.83,0.1642,23,90
12091,2,1,5,23,0,3,1,1,0.6,0.5606,0.83,0.1343,23,91
12092,2,1,5,0,0,4,1,1,0.6,0.5606,0.83,0.0896,24,6
12093,2,1,5,1,0,4,1,1,0.6,0.5455,0.88,0.0896,24,6
12094,2,1,5,2,0,4,1,1,0.6,0.5455,0.88,0.0,24,6
12095,2,1,5,3,0,4,1,2,0.6,0.5455,0.88,0.1045,24,6
12096,2,1,5,4,0,4,1,2,0.6,0.5455,0.88,0.1642,24,6
12097,2,1,5,5,0,4,1,2,0.6,0.5455,0.88,0.1642,24,6
12098,2,1,5,6,0,4,1,2,0.6,0.5455,0.88,0.1642,24,6
12099,2,1,5,7,0,4,1,1,0.6,0.5606,0.83,0.1045,24,6
12100,2,1,5,8,0,4,1,1,0.62,0.5909,0.73,0.1343,24,6
12101,2,1,5,9,0,4,1,1,0.62,0.5909,0.73,0.1642,24,6
12102,2,1,5,10,0,4,1,1,0.64,0.6061,0.65,0.1343,24,6
12103,2,1,5,11,0,4,1,1,0.66,0.6212,0.65,0.1343,24,26
12104,2,1,5,12,0,4,1,1,0.7,0.6515,0.58,0.1045,24,26
12105,2,1,5,13,0,4,1,1,0.72,0.6667,0.54,0.1642,24,224
12106,2,1,5,14,0,4,1,1,0.74,0.6818,0.55,0.2239,24,224
12107,2,1,5,15,0,4,1,1,0.74,0.6818,0.55,0.2537,24,224
12108,2,1,5,16,0,4,1,1,0.74,0.6818,0.55,0.3582,24,224
12109,2,1,5,17,0,4,1,1,0.74,0.6818,0.55,0.2836,24,224
12110,2,1,5,18,0,4,1,1,0.72,0.6667,0.54,0.3284,24,224
12111,2,1,5,19,0,4,1,1,0.7,0.6515,0.61,0.2985,24,224
12112,2,1,5,20,0,4,1,2,0.66,0.6212,0.69,0.2836,24,90
12113,2,1,5,21,0,4,1,3,0.64,0.5909,0.78,0.1642,24,90
12114,2,1,5,22,0,4,1,2,0.64,0.5909,0.78,0.1045,24,90
12115,2,1,5,23,0,4,1,2,0.64,0.5909,0.78,0.1343,24,90
12116,2,1,5,0,0,5,1,1,0.62,0.5758,0.83,0.1343,25,6
12117,2,1,5,1,0,5,1,1,0.62,0.5758,0.83,0.0896,25,6
12118,2,1,5,2,0,5,1,2,0.62,0.5758,0.83,0.0,25,6
12119,2,1,5,3,0,5,1,2,0.62,0.5606,0.88,0.1045,25,6
12120,2,1,5,4,0,5,1,2,0.62,0.5606,0.88,0.0,25,6
12121,2,1,5,5,0,5,1,2,0.62,0.5606,0.88,0.0896,25,6
12122,2,1,5,6,0,5,1,2,0.62,0.5606,0.88,0.1045,25,6
12123,2,1,5,7,0,5,1,2,0.62,0.5606,0.88,0.1642,25,6
12124,2,1,5,8,0,5,1,2,0.64,0.5758,0.89,0.1045,25,6
12125,2,1,5,9,0,5,1,2,0.64,0.5758,0.89,0.1343,25,26
12126,2,1,5,10,0,5,1,1,0.68,0.6364,0.79,0.1642,25,6
12127,2,1,5,11,0,5,1,1,0.68,0.6364,0.79,0.1343,25,26
12128,2,1,5,12,0,5,1,1,0.72,0.6818,0.66,0.1045,25,26
12129,2,1,5,13,0,5,1,1,0.74,0.6818,0.62,0.1343,25,224
12130,2,1,5,14,0,5,1,1,0.74,0.6818,0.58,0.1343,25,224
12131,2,1,5,15,0,5,1,1,0.76,0.7121,0.62,0.194,25,224
12132,2,1,5,16,0,5,1,1,0.78,0.7121,0.52,0.2239,25,224
12133,2,1,5,17,0,5,1,1,0.76,0.7121,0.62,0.2836,25,224
12134,2,1,5,18,0,5,1,1,0.76,0.7121,0.62,0.194,25,224
12135,2,1,5,19,0,5,1,1,0.74,0.6818,0.62,0.2537,25,224
12136,2,1,5,20,0,5,1,1,0.7,0.6515,0.65,0.1642,25,224
12137,2,1,5,21,0,5,1,1,0.7,0.6515,0.65,0.1343,25,224
12138,2,1,5,22,0,5,1,1,0.66,0.6212,0.74,0.1045,25,224
12139,2,1,5,23,0,5,1,1,0.66,0.6061,0.78,0.2239,25,85
12140,2,1,5,0,0,6,0,1,0.64,0.5758,0.83,0.1642,26,6
12141,2,1,5,1,0,6,0,1,0.64,0.5758,0.83,0.1343,26,6
12142,2,1,5,2,0,6,0,1,0.64,0.5758,0.89,0.1343,26,6
12143,2,1,5,3,0,6,0,1,0.62,0.5606,0.88,0.1045,26,6
12144,2,1,5,4,0,6,0,1,0.62,0.5606,0.88,0.1343,26,6
12145,2,1,5,5,0,6,0,1,0.62,0.5758,0.83,0.2537,26,6
12146,2,1,5,6,0,6,0,1,0.62,0.5606,0.88,0.194,26,6
12147,2,1,5,7,0,6,0,2,0.62,0.5606,0.88,0.1642,26,28
12148,2,1,5,8,0,6,0,1,0.64,0.5909,0.78,0.1343,26,23
12149,2,1,5,9,0,6,0,1,0.64,0.5758,0.83,0.194,26,28
12150,2,1,5,10,0,6,0,1,0.68,0.6364,0.79,0.2239,26,28
12151,2,1,5,11,0,6,0,1,0.7,0.6667,0.74,0.194,26,69
12152,2,1,5,12,0,6,0,1,0.74,0.697,0.66,0.2239,26,69
12153,2,1,5,13,0,6,0,1,0.76,0.7273,0.66,0.194,26,69
12154,2,1,5,14,0,6,0,1,0.76,0.7273,0.66,0.2239,26,69
12155,2,1,5,15,0,6,0,1,0.76,0.7273,0.66,0.2836,26,69
12156,2,1,5,16,0,6,0,1,0.78,0.7273,0.55,0.2537,26,69
