instant,season,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,dy,pred
12000,2,4,0,0,0,1,0.52,0.68,0.0896,20,9.94964649584728
12001,2,5,0,0,0,1,0.5,0.72,0.1045,20,9.285901371790082
12002,2,6,0,0,0,1,0.5,0.63,0.1343,20,19.650717789085185
12003,2,7,0,0,0,1,0.52,0.68,0.194,20,45.549607356734256
12004,2,8,0,0,0,1,0.56,0.56,0.1642,20,102.20873532187677
12005,2,9,0,0,0,1,0.62,0.32,0.2537,20,185.57124353616723
12006,2,10,0,0,0,1,0.66,0.34,0.2985,20,366.86243352145414
12007,2,11,0,0,0,1,0.66,0.36,0.3284,20,414.48244732447165
12008,2,12,0,0,0,1,0.68,0.36,0.3284,20,454.7744996134901
12009,2,13,0,0,0,1,0.7,0.37,0.2836,20,455.3490009160688
12010,2,14,0,0,0,1,0.72,0.39,0.3881,20,449.99678688427053
12011,2,15,0,0,0,2,0.7,0.39,0.4179,20,449.9470697254191
12012,2,16,0,0,0,1,0.72,0.42,0.3582,20,441.6679764065691
12013,2,17,0,0,0,1,0.72,0.45,0.3284,20,400.9382984895494
12014,2,18,0,0,0,1,0.7,0.51,0.3284,20,397.3808873915162
12015,2,19,0,0,0,1,0.66,0.61,0.4179,20,324.3696496184031
12016,2,20,0,0,0,1,0.66,0.61,0.4179,20,249.85710458701072
12017,2,21,0,0,0,1,0.64,0.69,0.3881,20,159.91854774291613
12018,2,22,0,0,0,1,0.62,0.73,0.3284,20,118.83493164038396
12019,2,23,0,0,0,3,0.6,0.78,0.3582,20,54.414900595641086
12020,2,0,0,1,1,3,0.58,0.88,0.2985,21,27.291223312688714
12021,2,1,0,1,1,3,0.58,0.88,0.3582,21,14.150033918031793
12022,2,2,0,1,1,3,0.56,0.94,0.2537,21,6.743054345540519
12023,2,3,0,1,1,2,0.56,0.88,0.2985,21,5.19006917392301
12024,2,4,0,1,1,3,0.56,0.88,0.2985,21,4.664184643561453
12025,2,5,0,1,1,3,0.56,0.88,0.2985,21,13.550848411707726
12026,2,6,0,1,1,3,0.56,0.88,0.2985,21,50.82558359296534
12027,2,7,0,1,1,3,0.56,0.88,0.2985,21,218.55034764457497
12028,2,8,0,1,1,3,0.56,0.88,0.2537,21,300.82795150839473
12029,2,9,0,1,1,3,0.56,0.88,0.2239,21,149.92548398926527
12030,2,10,0,1,1,3,0.58,0.88,0.2836,21,95.04232443533462
12031,2,11,0,1,1,2,0.6,0.83,0.1642,21,147.73157511215416
12032,2,12,0,1,1,2,0.6,0.83,0.2537,21,183.26339389848803
12033,2,13,0,1,1,3,0.6,0.83,0.2537,21,102.55511435761694
12034,2,14,0,1,1,3,0.6,0.83,0.194,21,102.90485426478942
12035,2,15,0,1,1,2,0.64,0.73,0.194,21,183.913293255706
12036,2,16,0,1,1,2,0.64,0.73,0.2537,21,295.3313275437683
12037,2,17,0,1,1,2,0.66,0.69,0.2537,21,562.4170832741434
12038,2,18,0,1,1,1,0.64,0.73,0.1045,21,571.4599739010823
